Gap = 4
X_pos[mm]	Beff[T]	Bpeak[T]	Z_pos[mm]	By[T]
-2.4	0.5157	0.5157	-2.9	0.4469
-2.2	0.5157	0.5157	-2.7	0.4223
-2.0	0.5157	0.5157	-2.4	0.3947
-1.8	0.5157	0.5157	-2.2	0.3644
-1.6	0.5157	0.5157	-2.0	0.3318
-1.4	0.5157	0.5157	-1.7	0.2970
-1.2	0.5157	0.5157	-1.5	0.2606
-1.0	0.5157	0.5157	-1.3	0.2227
-0.8	0.5157	0.5157	-1.0	0.1836
-0.7	0.5157	0.5157	-0.8	0.1437
-0.5	0.5157	0.5157	-0.6	0.1031
-0.3	0.5156	0.5156	-0.3	0.0620
-0.1	0.5156	0.5156	-0.1	0.0207
0.1	0.5156	0.5156	0.1	-0.0207
0.3	0.5156	0.5156	0.3	-0.0620
0.5	0.5157	0.5157	0.6	-0.1031
0.7	0.5157	0.5157	0.8	-0.1437
0.8	0.5157	0.5157	1.0	-0.1836
1.0	0.5157	0.5157	1.3	-0.2227
1.2	0.5157	0.5157	1.5	-0.2606
1.4	0.5157	0.5157	1.7	-0.2970
1.6	0.5157	0.5157	2.0	-0.3318
1.8	0.5157	0.5157	2.2	-0.3644
2.0	0.5157	0.5157	2.4	-0.3947
2.2	0.5157	0.5157	2.7	-0.4223
2.4	0.5157	0.5157	2.9	-0.4469
2.5	0.5157	0.5157	3.1	-0.4680
2.7	0.5157	0.5157	3.4	-0.4856
2.9	0.5157	0.5157	3.6	-0.4993
3.1	0.5157	0.5157	3.8	-0.5089
3.3	0.5157	0.5157	4.1	-0.5144
3.5	0.5157	0.5157	4.3	-0.5155
3.7	0.5157	0.5157	4.5	-0.5124
3.9	0.5156	0.5156	4.8	-0.5051
4.1	0.5156	0.5156	5.0	-0.4936
4.2	0.5156	0.5156	5.2	-0.4782
4.4	0.5156	0.5156	5.5	-0.4590
4.6	0.5156	0.5156	5.7	-0.4363
4.8	0.5156	0.5156	5.9	-0.4104
5.0	0.5156	0.5156	6.2	-0.3816
5.2	0.5156	0.5156	6.4	-0.3503
5.4	0.5157	0.5157	6.6	-0.3167
5.6	0.5157	0.5157	6.9	-0.2813
5.8	0.5157	0.5157	7.1	-0.2442
5.9	0.5157	0.5157	7.3	-0.2059
6.1	0.5157	0.5157	7.6	-0.1666
6.3	0.5157	0.5157	7.8	-0.1265
6.5	0.5157	0.5157	8.0	-0.0858
6.7	0.5157	0.5157	8.3	-0.0447
6.9	0.5157	0.5157	8.5	-0.0035
7.1	0.5157	0.5157	8.7	0.0377
7.3	0.5157	0.5157	9.0	0.0787
7.5	0.5157	0.5157	9.2	0.1194
7.6	0.5157	0.5157	9.4	0.1596
7.8	0.5156	0.5156	9.7	0.1989
