X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
-6	4	-1731	2.09144e-09	1.38567e-06	8.31915e-08
0	4	-1731	-3.38308e-16	1.38724e-06	8.33133e-08
6	4	-1731	-2.09145e-09	1.38567e-06	8.31915e-08
-6	-4	-1728	-2.21716e-09	1.44961e-06	-8.75735e-08
0	-4	-1728	-1.46597e-15	1.45127e-06	-8.77035e-08
6	-4	-1728	2.21716e-09	1.44961e-06	-8.75735e-08
-6	0	-1728	2.82857e-15	1.45188e-06	-1.49997e-15
0	0	-1728	9.7731e-16	1.45354e-06	3.77685e-16
6	0	-1728	-4.22888e-16	1.45188e-06	-1.63669e-15
-6	4	-1728	2.21715e-09	1.44961e-06	8.75735e-08
0	4	-1728	-3.13868e-15	1.45127e-06	8.77035e-08
6	4	-1728	-2.21716e-09	1.44961e-06	8.75735e-08
-6	-4	-1725	-2.35147e-09	1.51692e-06	-9.22209e-08
0	-4	-1725	-3.88105e-15	1.51868e-06	-9.23598e-08
6	-4	-1725	2.35146e-09	1.51692e-06	-9.22209e-08
-6	0	-1725	-3.52397e-15	1.51933e-06	-1.93141e-15
0	0	-1725	6.35253e-15	1.5211e-06	-1.49975e-15
6	0	-1725	-7.52719e-15	1.51933e-06	-1.11711e-15
-6	4	-1725	2.35147e-09	1.51692e-06	9.22209e-08
0	4	-1725	2.77217e-15	1.51868e-06	9.23598e-08
6	4	-1725	-2.35146e-09	1.51692e-06	9.22209e-08
-6	-4	-1722	-2.49503e-09	1.58782e-06	-9.7152e-08
0	-4	-1722	-6.57806e-16	1.58969e-06	-9.73006e-08
6	-4	-1722	2.49504e-09	1.58782e-06	-9.7152e-08
-6	0	-1722	-5.18728e-15	1.59038e-06	-8.54822e-16
0	0	-1722	-6.60626e-15	1.59225e-06	-4.11259e-15
6	0	-1722	-2.86615e-15	1.59038e-06	2.70379e-16
-6	4	-1722	2.49503e-09	1.58782e-06	9.7152e-08
0	4	-1722	3.11988e-15	1.58969e-06	9.73006e-08
6	4	-1722	-2.49503e-09	1.58782e-06	9.7152e-08
-6	-4	-1719	-2.64858e-09	1.66252e-06	-1.02387e-07
0	-4	-1719	1.39079e-15	1.6645e-06	-1.02546e-07
6	-4	-1719	2.64859e-09	1.66252e-06	-1.02387e-07
-6	0	-1719	-7.86549e-15	1.66524e-06	-3.70039e-16
0	0	-1719	-7.32985e-15	1.66722e-06	-1.80937e-15
6	0	-1719	-1.07128e-15	1.66524e-06	6.23833e-16
-6	4	-1719	2.64857e-09	1.66252e-06	1.02387e-07
0	4	-1719	-1.59752e-16	1.6645e-06	1.02546e-07
6	4	-1719	-2.64858e-09	1.66252e-06	1.02387e-07
-6	-4	-1716	-2.81288e-09	1.74126e-06	-1.07946e-07
0	-4	-1716	-1.79486e-15	1.74337e-06	-1.08116e-07
6	-4	-1716	2.81288e-09	1.74126e-06	-1.07946e-07
-6	0	-1716	-8.52329e-15	1.74415e-06	-2.71105e-15
0	0	-1716	-9.39647e-17	1.74626e-06	-1.29264e-15
6	0	-1716	6.60625e-15	1.74415e-06	6.05406e-16
-6	4	-1716	2.81287e-09	1.74126e-06	1.07946e-07
0	4	-1716	5.45039e-15	1.74337e-06	1.08116e-07
6	4	-1716	-2.81288e-09	1.74126e-06	1.07946e-07
-6	-4	-1713	-2.98878e-09	1.82429e-06	-1.13853e-07
0	-4	-1713	2.07679e-15	1.82653e-06	-1.14035e-07
6	-4	-1713	2.98879e-09	1.82429e-06	-1.13853e-07
-6	0	-1713	-8.30715e-15	1.82736e-06	2.38597e-15
0	0	-1713	-9.96112e-16	1.8296e-06	4.9332e-15
6	0	-1713	-1.90764e-15	1.82736e-06	-7.18217e-15
-6	4	-1713	2.98879e-09	1.82429e-06	1.13853e-07
0	4	-1713	2.96953e-15	1.82653e-06	1.14035e-07
6	4	-1713	-2.98879e-09	1.82429e-06	1.13853e-07
-6	-4	-1710	-3.17722e-09	1.91188e-06	-1.20133e-07
0	-4	-1710	3.10123e-16	1.91426e-06	-1.20328e-07
6	-4	-1710	3.17722e-09	1.91188e-06	-1.20133e-07
-6	0	-1710	-9.3033e-16	1.91514e-06	-7.67428e-16
0	0	-1710	-2.14256e-15	1.91753e-06	4.83011e-16
6	0	-1710	-6.29624e-16	1.91514e-06	-4.06434e-15
-6	4	-1710	3.17721e-09	1.91188e-06	1.20133e-07
0	4	-1710	2.12378e-15	1.91426e-06	1.20328e-07
6	4	-1710	-3.17721e-09	1.91188e-06	1.20133e-07
-6	-4	-1707	-3.37918e-09	2.00432e-06	-1.26812e-07
0	-4	-1707	4.4073e-15	2.00686e-06	-1.27021e-07
6	-4	-1707	3.37917e-09	2.00432e-06	-1.26812e-07
-6	0	-1707	-2.82022e-17	2.00779e-06	2.14075e-17
0	0	-1707	-4.88651e-16	2.01033e-06	-5.67941e-16
6	0	-1707	-3.6837e-15	2.00779e-06	-1.8496e-15
-6	4	-1707	3.37918e-09	2.00432e-06	1.26812e-07
0	4	-1707	-1.56934e-15	2.00686e-06	1.27021e-07
6	4	-1707	-3.37918e-09	2.00432e-06	1.26812e-07
-6	-4	-1704	-3.59576e-09	2.10192e-06	-1.33919e-07
0	-4	-1704	7.37683e-15	2.10461e-06	-1.34144e-07
6	-4	-1704	3.59576e-09	2.10192e-06	-1.33919e-07
-6	0	-1704	1.45656e-15	2.10561e-06	6.76786e-16
0	0	-1704	-2.18015e-15	2.10831e-06	6.41447e-16
6	0	-1704	-1.50355e-15	2.10561e-06	3.28865e-15
-6	4	-1704	3.59576e-09	2.10192e-06	1.33919e-07
0	4	-1704	3.57089e-16	2.10461e-06	1.34144e-07
6	4	-1704	-3.59576e-09	2.10192e-06	1.33919e-07
-6	-4	-1701	-3.82815e-09	2.20501e-06	-1.41486e-07
0	-4	-1701	-5.30005e-15	2.20788e-06	-1.41727e-07
6	-4	-1701	3.82816e-09	2.20501e-06	-1.41486e-07
-6	0	-1701	4.79274e-16	2.20894e-06	-6.67055e-15
0	0	-1701	2.87555e-15	2.21182e-06	-3.57142e-15
6	0	-1701	-5.74171e-15	2.20894e-06	-4.2244e-15
