X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
-6	0	-1752	-5.60075e-15	6.9537e-07	-8.46741e-15
0	0	-1752	2.16136e-15	6.96143e-07	-6.0761e-15
6	0	-1752	1.16526e-15	6.9537e-07	-2.39491e-15
-6	4	-1752	1.02859e-09	6.9431e-07	4.21781e-08
0	4	-1752	-3.00717e-16	6.95081e-07	4.22357e-08
6	4	-1752	-1.0286e-09	6.9431e-07	4.21781e-08
-6	-4	-1749	-1.08803e-09	7.26706e-07	-4.43419e-08
0	-4	-1749	-3.8529e-16	7.27522e-07	-4.44032e-08
6	-4	-1749	1.08803e-09	7.26706e-07	-4.43419e-08
-6	0	-1749	1.55993e-15	7.27828e-07	-8.04335e-15
0	0	-1749	-2.04859e-15	7.28645e-07	-5.63814e-15
6	0	-1749	-1.44717e-15	7.27828e-07	-5.17708e-15
-6	4	-1749	1.08803e-09	7.26706e-07	4.43419e-08
0	4	-1749	-5.19667e-15	7.27522e-07	4.44032e-08
6	4	-1749	-1.08803e-09	7.26706e-07	4.43419e-08
-6	-4	-1746	-1.15134e-09	7.60769e-07	-4.66318e-08
0	-4	-1746	-1.06188e-15	7.61632e-07	-4.66972e-08
6	-4	-1746	1.15135e-09	7.60769e-07	-4.66318e-08
-6	0	-1746	-8.72063e-15	7.61957e-07	-4.74426e-15
0	0	-1746	-4.0878e-15	7.62822e-07	-8.54793e-15
6	0	-1746	3.18567e-15	7.61957e-07	-1.2305e-14
-6	4	-1746	1.15136e-09	7.60769e-07	4.66318e-08
0	4	-1746	-4.04078e-16	7.61632e-07	4.66972e-08
6	4	-1746	-1.15135e-09	7.60769e-07	4.66318e-08
-6	-4	-1743	-1.21884e-09	7.96597e-07	-4.90562e-08
0	-4	-1743	1.43777e-15	7.9751e-07	-4.91259e-08
6	-4	-1743	1.21883e-09	7.96597e-07	-4.90562e-08
-6	0	-1743	-6.02362e-15	7.97855e-07	-9.68107e-15
0	0	-1743	8.26959e-16	7.9877e-07	-7.89462e-15
6	0	-1743	-5.81689e-15	7.97855e-07	-7.95023e-15
-6	4	-1743	1.21884e-09	7.96597e-07	4.90562e-08
0	4	-1743	5.25306e-15	7.9751e-07	4.91259e-08
6	4	-1743	-1.21883e-09	7.96597e-07	4.90562e-08
-6	-4	-1740	-1.29081e-09	8.34292e-07	-5.16239e-08
0	-4	-1740	1.23103e-15	8.3526e-07	-5.16983e-08
6	-4	-1740	1.29081e-09	8.34292e-07	-5.16239e-08
-6	0	-1740	-8.83342e-16	8.35626e-07	-7.55351e-15
0	0	-1740	-2.011e-15	8.36595e-07	-3.19427e-15
6	0	-1740	3.61793e-15	8.35626e-07	-8.58832e-15
-6	4	-1740	1.29081e-09	8.34292e-07	5.16239e-08
0	4	-1740	3.93744e-15	8.3526e-07	5.16983e-08
6	4	-1740	-1.29081e-09	8.34292e-07	5.16239e-08
-6	-4	-1737	-1.36759e-09	8.73968e-07	-5.43447e-08
0	-4	-1737	3.14806e-15	8.74993e-07	-5.44241e-08
6	-4	-1737	1.36758e-09	8.73968e-07	-5.43447e-08
-6	0	-1737	5.53498e-15	8.75381e-07	-6.85293e-15
0	0	-1737	-3.10109e-16	8.76408e-07	-6.95969e-15
6	0	-1737	-3.66492e-15	8.75381e-07	-3.69985e-15
-6	4	-1737	1.36759e-09	8.73968e-07	5.43447e-08
0	4	-1737	-3.22325e-15	8.74993e-07	5.4424e-08
6	4	-1737	-1.36759e-09	8.73968e-07	5.43447e-08
-6	-4	-1734	-1.44955e-09	9.1574e-07	-5.72288e-08
0	-4	-1734	2.63128e-16	9.16827e-07	-5.73136e-08
6	-4	-1734	1.44955e-09	9.1574e-07	-5.72288e-08
-6	0	-1734	-2.41508e-15	9.17239e-07	-5.1771e-15
0	0	-1734	3.97504e-15	9.18327e-07	-3.75468e-15
6	0	-1734	-2.56545e-15	9.17239e-07	-8.50356e-15
-6	4	-1734	1.44955e-09	9.1574e-07	5.72288e-08
0	4	-1734	-1.15586e-15	9.16827e-07	5.73135e-08
6	4	-1734	-1.44955e-09	9.1574e-07	5.72288e-08
-6	-4	-1731	-1.53708e-09	9.59737e-07	-6.02874e-08
0	-4	-1731	1.54114e-15	9.60889e-07	-6.03779e-08
6	-4	-1731	1.53707e-09	9.59737e-07	-6.02874e-08
-6	0	-1731	1.29683e-15	9.61326e-07	-8.42814e-15
0	0	-1731	-5.35643e-15	9.6248e-07	-6.6213e-15
6	0	-1731	3.59915e-15	9.61326e-07	-4.97597e-15
-6	4	-1731	1.53707e-09	9.59737e-07	6.02874e-08
0	4	-1731	2.52786e-15	9.60889e-07	6.03779e-08
6	4	-1731	-1.53708e-09	9.59737e-07	6.02874e-08
-6	-4	-1728	-1.6306e-09	1.00609e-06	-6.35324e-08
0	-4	-1728	-4.18176e-15	1.00731e-06	-6.36292e-08
6	-4	-1728	1.63059e-09	1.00609e-06	-6.35324e-08
-6	0	-1728	-6.79421e-15	1.00778e-06	-1.0257e-14
0	0	-1728	-3.96563e-15	1.009e-06	-9.93858e-15
6	0	-1728	-3.66485e-16	1.00778e-06	-7.47609e-15
-6	4	-1728	1.6306e-09	1.00609e-06	6.35324e-08
0	4	-1728	-6.67205e-16	1.00731e-06	6.36292e-08
6	4	-1728	-1.6306e-09	1.00609e-06	6.35324e-08
-6	-4	-1725	-1.73058e-09	1.05495e-06	-6.69769e-08
0	-4	-1725	-3.69312e-15	1.05625e-06	-6.70803e-08
6	-4	-1725	1.73058e-09	1.05495e-06	-6.69769e-08
-6	0	-1725	-2.09558e-15	1.05674e-06	-1.03085e-14
0	0	-1725	-2.28353e-15	1.05804e-06	-5.68153e-15
6	0	-1725	-1.55054e-15	1.05674e-06	-1.04416e-14
-6	4	-1725	1.73056e-09	1.05495e-06	6.69768e-08
0	4	-1725	-1.25923e-15	1.05625e-06	6.70803e-08
6	4	-1725	-1.73057e-09	1.05495e-06	6.69768e-08
-6	-4	-1722	-1.8375e-09	1.10647e-06	-7.06345e-08
0	-4	-1722	-3.23265e-15	1.10784e-06	-7.07452e-08
6	-4	-1722	1.8375e-09	1.10647e-06	-7.06345e-08
-6	0	-1722	-4.56705e-15	1.10837e-06	-2.55268e-15
0	0	-1722	-5.56316e-15	1.10975e-06	-1.25505e-14
6	0	-1722	-5.61955e-15	1.10837e-06	-7.89957e-15
